,petid,detectionConfidence,joyLikelihood,sorrowLikelihood,angerLikelihood,surpriseLikelihood,underExposedLikelihood,blurredLikelihood,headwearLikelihood,labels,street dog,dog like mammal,aegean cat,carnivoran,small to medium sized cats,cat like mammal,dog breed,snout,whiskers,domestic short haired cat,puppy,dog breed group,fauna,kitten,european shorthair,dog,sporting group,cat
0,0008c5398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.374963822,0.0,1.6572265380000002,1.597778168,0.0,0.85249933,1.5704752560000002,1.36497594,0.0,0.0,0.0,1.320261818,0.257755366,0.0,0.0,1.788422482
1,000a290e4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.9232661800000002,0.0,0.70010306,0.0,0.0,0.94105793,0.0,0.0,0.0,0.481392912,0.8975079,0.0,0.0,0.0,0.962697432,0.116349912,0.0
2,000fb9572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,1.696098732,0.0,1.159235314,0.0,0.0,1.45766699,0.94356112,0.0,0.0,0.90046604,1.348554546,0.0,0.0,0.0,1.53827982,0.10401031999999999,0.0
3,0011d7c25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.68535278,0.11884456800000001,1.1030180600000001,1.073226146,0.17410283000000001,0.7068574000000001,1.0161382360000002,0.7703799200000001,0.0,0.17869066,0.6972150400000001,0.8513271440000001,0.11753946,0.0,0.0,1.188725148
4,00156db4a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.779650664,1.23366076,0.0,0.43914999600000004,0.0,0.0,1.507630072,0.77239774,0.41559724800000003,0.0,0.0,0.9681355920000001,0.0,0.0,0.0,1.517066974,0.0,0.0
5,001a1aaad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.600000000000001,0.0,0.0,0.13250086000000003,0.50226632,1.263663162,1.140642514,0.43975224,0.0,1.0384717380000001,0.28397828399999997,0.0,0.785354212,0.34667504000000005,0.764105088,0.24822946999999998,0.0,0.0,1.35586851
6,001b1507c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.10245967,0.0,1.657265148,1.6234678800000002,0.0,0.0,1.487438572,1.3947703800000002,0.0,0.0,0.684366978,1.2074769459999999,0.977031348,0.0,0.0,1.7892763760000001
7,002230dea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.392224564,0.5545163000000001,0.54518562,0.0,0.13410998000000002,0.9955037580000001,0.29255906000000004,0.0,0.0,0.929048576,0.524130866,0.0,0.0,0.0,1.095352354
8,002278114,0.7999182720000001,3.2,0.0,0.0,0.0,0.0,0.0,0.0,31.400000000000002,0.0,0.0,0.904112372,1.35731402,2.2173948839999995,2.175262838,0.0,0.25112159,1.9743069640000002,1.721076888,0.0,0.0,0.16030694,2.0375552839999997,0.7109484500000001,0.0,0.0,2.3850117580000005
9,0025a8313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.40496564,0.9154169200000001,0.88102636,0.0,0.0,0.6981018,0.1569695,0.0,0.5122535680000001,0.8699397680000001,0.14585776,0.552518352,0.0,0.0,0.979623068
10,0038234c6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,1.12340099,0.0,0.816412224,0.0,0.0,1.1086138920000002,0.8191007800000001,0.0,0.0,0.938543356,1.0071740900000001,0.0,0.0,0.0,1.1583688,0.52820414,0.0
11,0038c9343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.510918186,0.0,0.14775402,0.0,0.0,1.4446749520000002,0.0,0.0,0.0,0.0,0.7030166040000001,0.0,0.0,0.0,1.465527786,0.0,0.1510998
12,003dd2e26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.10211462,0.0,0.40107012,0.9851082600000001,0.897223004,0.185183668,0.0,0.5519277,0.0,0.0,1.06978276,0.89668454,0.0,0.0,0.0,0.0,1.0540875280000002
13,0045ed62a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.56578726,0.0,1.1051036280000002,1.062329652,0.0,0.0,1.0341986280000002,0.9350618,0.0,0.0,0.8055801320000001,0.95657418,0.806138632,0.0,0.0,1.1907674300000002
14,004709939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.101521194,0.21868202000000003,1.10536069,1.0821046600000002,0.0,0.49698372,0.9378489400000001,0.791965762,0.0,0.0,0.35143268000000005,0.8572606960000001,0.23619451200000002,0.0,0.0,1.19016948
15,004a26127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.9554200740000001,0.0,0.6518309640000001,0.0,0.0,0.9375563,0.68531699,0.0,0.0,0.836385732,0.8265269740000001,0.0,0.0,0.0,0.9667983,0.5925286000000001,0.0
16,004c2f355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.56121136,0.92559472,0.920697584,0.0,0.0,0.7502806420000001,0.14968867400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947918
17,0052dcf47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.07177964,0.0,0.562288672,0.0,0.0,1.1317094200000002,0.8322045900000001,0.0,0.0,0.7946813500000001,0.985071002,0.0,0.0,0.0,1.139159308,0.47171152000000005,0.0
18,00553ae55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.24126522000000003,1.4720705080000003,1.4202729120000002,0.0,0.7493923,1.365492788,1.150549762,0.0,0.0,0.0,1.355110292,0.12500213400000001,0.0,0.0,1.5859770060000002
19,0058586f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0129732900000001,0.0,0.639473752,0.0,0.0,1.1256403460000002,0.909303312,0.0,0.0,0.133418548,0.0,0.0,0.0,0.0,1.15803026,0.6839457600000001,0.0
20,005afe792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,0.0,0.0,0.883385244,2.5866156760000005,2.55088309,0.0,0.0,2.306722354,1.5964980340000001,0.0,0.0,1.0351178699999999,2.2723345580000003,0.8914891,0.0,0.0,2.7825675
21,005bb92d8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.65882764,0.70304332,0.0,0.4833264,0.0,0.0,0.7539764400000001,0.53172456,0.0,0.0,0.5008397600000001,0.6281485600000001,0.0,0.0,0.0,0.77116728,0.0,0.0
22,0063bd7e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.929218524,0.0,0.58240808,0.0,0.0,0.89371222,0.61686688,0.0,0.0,0.0,0.7320871200000001,0.0,0.0,0.0,0.9686922600000001,0.43837616,0.0
23,0063f83c9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.99485062,1.292393898,1.257807168,0.0,0.0,1.1910547660000002,0.88588566,0.0,0.0,0.16663717,1.1859166520000002,0.77415166,0.0,0.0,1.3902035240000001
24,00648f96f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.74909406,0.940923052,0.0,0.646202792,0.0,0.0,0.939037528,0.542052128,0.0,0.0,0.55056144,0.77856756,0.0,0.0,0.0,0.9597886320000001,0.11054523999999999,0.0
25,006610fe3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.74548376,0.0,0.45525544,0.0,0.0,0.749946928,0.0,0.0,0.0,0.0,0.6355459200000001,0.0,0.0,0.0,0.76548064,0.48596648000000003,0.0
26,006d301e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.10507577,1.0641105840000002,0.0,0.0,0.9433534480000001,0.25801075,0.0,0.0,0.91132864,0.2352242,0.9147198820000001,0.0,0.0,1.190270726
27,006ffebaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.769757612,0.0,1.464510818,1.405834958,0.0,0.14948786,1.404728788,1.14129922,0.0,0.0,1.2572558800000002,1.2422611520000002,0.115123368,0.0,0.0,1.5862372200000001
28,00709d75b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.340185076,0.0,0.813413824,0.0,0.0,1.3014949740000001,0.64979546,0.0,0.0,0.0,0.9544898340000001,0.0,0.0,0.0,1.3814857200000001,0.0,0.0
29,0073c33d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.77636216,0.0,0.61637944,0.0,0.0,0.75470048,0.5929675600000001,0.0,0.0,0.6953722960000001,0.7317563200000001,0.0,0.0,0.0,0.786197712,0.0,0.0
30,007bc1db4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1.067153032,1.510452592,0.0,1.058073362,0.0,0.0,1.493854286,1.126870672,0.0,0.0,0.966512464,1.4422719720000001,0.65229056,0.0,0.0,1.4993806860000003,0.111550594,0.0
31,007ffeccd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.391888226,2.3359960140000005,0.0,1.07710356,0.0,0.0,2.238245692,1.6786870320000002,0.10567928,0.0,1.592220744,2.1227111640000005,0.0,0.0,0.0,2.3166723740000004,0.11071924,0.0
