,petid,magnitude,score
0,b5e7e4539,0.5,0
1,41e824cbe,8.3,0.2
2,0833744e6,2.9,0.3
3,fc229a9d7,1.7,0.4
4,3589a8a0d,0.9,0.9
5,bdfe6125d,0.7,0.3
6,57af29aba,1.1,0.3
7,94afcd90c,2.1,0
8,aa7dc1913,1.9,0.2
9,868dcd617,1.3,0.3
10,8f1d6224d,1.2,0.1
11,811f9407f,2.8,0.2
12,15a206d0d,0.8,0.8
13,d45776f61,0.5,0.5
14,e7a74fca8,0.0,0
15,fe4bb01a6,0.9,-0.2
16,029e79030,1.5,0.1
17,e77941c00,1.5,-0.7
18,6f72c46b5,1.3,0.4
19,e92b33580,0.4,0.4
20,6e6d8b614,8.2,0.2
21,c1e816568,0.8,0.1
22,e40073625,2.0,0.6
23,c8fc0d746,0.6,0
24,8a97062f5,1.5,0.1
25,081c0a12d,3.3,0.2
26,49a867af7,1.0,0
27,24c1d5a33,3.5,0.2
28,4fc7557be,2.4,0.3
29,0e98b9e24,0.3,0.3
30,a062234cb,4.0,0.2
31,66b206dbe,3.6,0.1
32,6819ce556,2.3,0.7
33,c8d27db32,1.7,0
34,89bd573e1,0.4,0
35,e6b28fc29,0.8,0.8
36,0cd8ca49f,1.6,0.8
37,c4e1afd9e,4.0,0.3
38,718c4b524,6.3,0.3
39,435f419f9,0.7,0.7
40,096a97631,0.8,0.2
41,409740892,0.9,0.9
42,f0982978a,0.4,0.4
43,e152df77a,1.5,0.7
44,a854aca45,1.8,0.1
45,d6f0972d4,3.4,0.1
46,e246ecfdc,1.8,0.2
47,43b99bc40,0.7,0.7
48,133ca8c90,2.5,0.8
49,71f93d157,0.8,0.2
50,0edb4e3b2,1.2,0.3
51,261a88440,0.9,0.4
52,5fcd44bf9,3.7,0.2
53,15f89f939,1.6,0.3
54,9115f86cb,0.2,0
55,b39f3f7ad,1.7,0.1
56,7810092ba,0.8,-0.4
57,8f49d2828,2.2,0.2
58,1f2bd07e8,0.8,0.8
59,6eb8a8e8e,0.4,-0.2
60,bf50b399e,1.0,0.5
61,81a1cb1b2,3.3,0.3
62,b1db9573c,1.0,0.5
63,86228db7e,5.2,0.1
64,87a243fe6,1.4,0.1
65,7fd44f9f3,4.7,0.4
66,a80687cf1,0.9,0.9
67,13966b6a8,1.0,0.5
68,0211e2f2d,1.1,0
69,5b4745340,4.6,0.1
70,360215e23,0.9,0.3
71,7fa04723a,0.7,-0.1
72,aca9ddee7,0.6,-0.2
